studentId,mean_proficiency_2017,mean_proficiency_2018,studentLevel2017,studentLevel2018
45140,0.9892992751121851,0.9915368991198376,6,7
45141,1.150673110113911,1.1404874746106974,6,7
45142,0.9829133586468761,1.0265177160911758,6,7
45143,1.1123576113220572,1.1541412773640263,6,7
45144,0.9626891939457938,0.9598797548849577,5,6
45145,1.1047635484984468,1.1188219363574814,6,7
45146,1.015311510031679,0.9613828188229853,5,6
45147,0.7915084570245081,0.9028436018957345,6,7
45148,1.007766655160511,1.002708192281652,6,7
45149,0.8196057726152763,0.9618453000346859,5,6
45150,1.003451846738005,1.0572105619498986,6,7
45151,1.052813255091474,1.0736853983299481,6,7
45152,1.0269244045564376,1.0569848792597607,6,7
45153,0.8947186744908526,0.9131121642969985,6,7
45154,0.9803244735933725,0.9948092981268338,6,7
45155,1.0926820849154297,1.0771834800270819,6,7
45156,0.6708905315029918,0.8314255983350677,5,6
45157,1.0234725578184327,1.043895283231776,6,7
45158,0.9939592682084916,1.038591740013541,6,7
45159,1.0352088367276493,1.0389302640487474,6,7
45160,1.0804280289955126,1.105619498984428,6,7
45161,1.0790472903003105,1.0929812683367186,6,7
45162,0.9829133586468761,1.0206499661475965,6,7
45163,0.9672074559889541,0.974272173324306,6,7
45164,1.0203658957542285,1.0275332881967953,6,7
45165,0.9149119779081809,0.9285714285714285,6,7
45167,0.9630652399033482,0.9514782216204017,6,7
45168,1.029340697273041,1.0714285714285714,6,7
45169,0.9370037970314118,0.973595125253893,6,7
45170,0.9779081808767691,0.9985330625141052,6,7
45171,0.875747976064766,0.8858827610128339,5,6
45172,1.057818432861581,1.035883547731889,6,7
45173,0.9853296513634795,0.9733694425637553,6,7
45174,1.052122885743873,1.1092304220266305,6,7
45175,0.8725800774375221,0.8802173661694993,5,6
45176,1.0403866068346566,1.0267433987813135,6,7
45177,1.0662754573696929,1.0530354321823516,6,7
45178,1.0648947186744908,1.1348454073572558,6,7
45179,0.9498416050686378,0.9312059197595097,5,6
45180,1.0417673455298586,1.0535996389076958,6,7
45181,0.9047290300310666,0.9387271496276236,6,7
45182,1.025025888850535,0.9918754231550441,6,7
45183,1.0162236796686228,1.012186865267434,6,7
45184,1.0348636520538488,0.9910855337395622,6,7
45185,0.9200897480151882,0.9150304671631685,6,7
45186,0.9202745512143611,0.9086599606890969,5,6
45187,0.9879185364169831,0.9882645001128414,6,7
45188,1.048671039005868,1.0065447980139923,6,7
45189,0.9924059371763894,1.0072218460844053,6,7
45190,1.0747324818778046,1.0722184608440533,6,7
45191,1.0289955125992407,1.0110584518167456,6,7
45192,1.0802554366586123,1.0903859174001354,6,7
45193,0.9575422851225406,0.9723538704581358,6,7
45194,0.9613393165343458,0.9029564432408034,6,7
45195,0.944385779655051,0.9672794542721702,5,6
45196,0.9045564376941664,0.9796885578876099,6,7
45197,0.8035902851108765,0.7978957104867614,5,6
45198,1.0462547462892648,1.0353193410065449,6,7
45199,1.0234725578184327,1.0245994132250056,6,7
45200,1.0517777010700726,1.014782216204017,6,7
45201,1.0481532619951675,1.0533739562175581,6,7
45202,0.8886779426993441,0.9063416835928684,6,7
45203,0.9716948567483603,0.9557661927330173,6,7
45204,0.8850535036244391,0.8842247799593772,6,7
45205,0.9842940973420781,0.9877002933874971,6,7
45206,0.9734207801173627,1.0142180094786728,6,7
45207,1.0612702795995856,1.0329496727600993,6,7
45208,1.0386606834656542,1.0449108553373956,6,7
45209,1.047117707973766,1.0666892349356805,6,7
45210,0.9259578874697963,0.9821710674791243,6,7
45211,0.9604763548498447,0.9241706161137442,6,7
45213,0.9502934069727305,0.9700970435567592,6,7
45214,0.9882637210907835,0.9849921011058452,6,7
45215,0.9611667241974456,0.9146919431279622,6,7
45216,0.8593804998240056,0.9047288703896404,5,6
45217,1.0638591646530893,1.038591740013541,6,7
45218,0.9095388947553679,0.8718348942074228,5,6
45219,0.9908526061442873,1.018280297901151,6,7
45222,0.9981014842940973,1.024937937260212,6,7
45223,0.8799718409010912,0.8863452422245346,5,6
45224,1.079392474974111,1.0655608214849923,6,7
45225,0.9280289955125993,0.8903182125930941,6,7
45226,0.8852516719464978,0.9537518788299225,5,6
45227,0.9602252727912708,0.963579604578564,5,6
45228,1.068519157749396,1.0690589031821258,6,7
45230,0.897825336555057,0.9236064093883999,6,7
45232,0.966913058782119,1.0354954329980346,5,6
45234,1.0513903555086237,1.0683315990287894,5,6
45235,0.9788806758183739,1.001156203029252,5,6
45236,1.036254839845125,1.0780437044745057,5,6
45237,0.9023231256599789,0.9153659382587582,5,6
45238,0.9852164730728616,0.937333795814545,5,6
45239,1.0031678986272439,0.9871661463753035,5,6
45240,0.9364660330869412,0.9838131575904728,5,6
45241,0.9528335093277015,0.9997687593941494,5,6
45242,1.0788454769447378,1.137241299572205,5,6
45243,0.986272439281943,1.033414267545381,5,6
45244,1.0700457585357268,1.064978610243959,5,6
45245,0.9906722984864484,1.017227425135854,5,6
45246,0.9109468497008095,0.9395305815701237,5,6
45247,0.9697289686730025,0.976760319112036,5,6
45248,1.0633579725448785,1.0845184414383164,5,6
45249,0.9355860612460402,1.015608740894901,5,6
45250,0.9165786694825766,0.9387212394496474,5,6
45251,0.9024853296513635,0.9450462649514781,6,7
45253,0.7497360084477297,0.8135044513816626,5,6
45254,1.0401267159450898,1.0168227540756156,5,6
45255,0.9640971488912355,0.9613828188229854,5,6
45256,0.8980992608236537,0.9303965776390335,5,6
45257,0.9994720168954594,0.9921378194010869,5,6
45258,0.9734248504047871,1.0206960342236098,5,6
45259,0.9642731432594156,1.0190773499826569,5,6
45260,0.9188665962689194,0.9253092843103249,5,6
45261,1.0547342485040478,1.0463637414730027,5,6
45262,1.1346356916578668,1.1378194010868308,5,6
45263,1.1038366772263288,1.1113423517169616,5,6
45264,1.0334389299542415,1.0190773499826569,5,6
45265,0.9977120732136572,1.013180714533472,5,6
45266,0.9655051038366773,0.9556018036767256,5,6
45267,0.9808166138683562,0.989247311827957,5,6
45268,0.9815205913410772,0.9938721239449647,5,6
45270,1.0584301302358323,1.0320268239102786,5,6
45271,0.9878563885955649,0.976760319112036,5,6
45272,1.041182682154171,1.068678459937565,5,6
45273,1.0587821189721929,1.0842872008324662,5,6
45275,1.0188313973952834,0.9550237021620996,5,6
45276,0.9848644843365012,1.0265926696727945,5,6
45277,1.0441745864132348,1.108683084749682,5,6
45278,0.9956001407954946,0.9834662966816973,5,6
45280,0.9964801126363956,1.0204647936177593,5,6
45281,0.8627243928194297,0.8492311249855474,5,6
45282,0.9040830693417811,0.9620765406405365,5,6
